title_ru,page_num,title_en,href
Облачный смех: Гайдэн,119,"Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai",https://shikimori.one/animes/35086-donten-ni-warau-gaiden-ketsubetsu-yamainu-no-chikai
Дораэмон: Три Мушкетера,119,Doraemon Movie 15: Nobita to Mugen Sankenshi,https://shikimori.one/animes/2676-doraemon-movie-15-nobita-to-mugen-sankenshi
Разве плохо искать себе пару в подземелье? II,119,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,https://shikimori.one/animes/37347-dungeon-ni-deai-wo-motomeru-no-wa-machigatteiru-darou-ka-ii
Судьба/Великий приказ: Вавилония — Начало путешествия,119,Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,https://shikimori.one/animes/z40206-fate-grand-order-zettai-majuu-sensen-babylonia-initium-iter
Таинственная игра OVA 2,119,Fushigi Yuugi: Dai Ni Bu,https://shikimori.one/animes/381-fushigi-yuugi-dai-ni-bu
"Вперёд, ко вселенной!!",119,Ginga e Kickoff!!,https://shikimori.one/animes/12875-ginga-e-kickoff
"Долгих лет жизни, предки!",119,Gosenzo-sama Banbanzai!,https://shikimori.one/animes/4639-gosenzo-sama-banbanzai
Легенда о Гранкресте,119,Grancrest Senki,https://shikimori.one/animes/34279-grancrest-senki
Х2,119,H2,https://shikimori.one/animes/386-h2
Старшая школа DxD: Спешлы,119,High School DxD Specials,https://shikimori.one/animes/13357-high-school-dxd-specials
Школа вверх дном,119,High School! Kimengumi,https://shikimori.one/animes/714-high-school-kimengumi
Двуличная сестрёнка Умару! OVA,119,Himouto! Umaru-chan OVA,https://shikimori.one/animes/30991-himouto-umaru-chan-ova
Планета Короля Зверей,119,Jyu Oh Sei,https://shikimori.one/animes/z953-jyu-oh-sei
Золотая мозаика,119,Kiniro Mosaic,https://shikimori.one/animes/16732-kiniro-mosaic
Дневник сумасшедшей семейки,119,Kyouran Kazoku Nikki,https://shikimori.one/animes/3577-kyouran-kazoku-nikki
Хорошенькое лекарство: Девочки-волшебницы (фильм),119,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,https://shikimori.one/animes/33183-mahoutsukai-precure-movie-kiseki-no-henshin-cure-mofurun
Май-Отомэ,119,Mai-Otome Zwei,https://shikimori.one/animes/1609-mai-otome-zwei
"Моб Психо 100: Рэйгэн — Чудо-экстрасенс, которого никто не знает",120,Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha,https://shikimori.one/animes/z36616-mob-psycho-100-reigen-shirarezaru-kiseki-no-reinouryokusha
Загадочная девушка Х,120,Nazo no Kanojo X,https://shikimori.one/animes/z12467-nazo-no-kanojo-x
Магазинчик ужасов,120,Petshop of Horrors,https://shikimori.one/animes/z326-petshop-of-horrors
Пластиковая сестрёнка,120,Plastic Neesan,https://shikimori.one/animes/10711-plastic-neesan
Попсовый эпос,120,Poputepipikku,https://shikimori.one/animes/35330-poputepipikku
Милое лекарство: Все друзья - Большое собрание всех чудес!,120,Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,https://shikimori.one/animes/5753-precure-all-stars-movie-dx-minna-tomodachi-kiseki-no-zenin-daishuugou
Новый этап всех звёзд ПриКюа 3: Друзья навсегда,120,Precure All Stars Movie New Stage 3: Eien no Tomodachi,https://shikimori.one/animes/21031-precure-all-stars-movie-new-stage-3-eien-no-tomodachi
Повесть о стране цветных облаков: Рекапы,120,Saiunkoku Monogatari Recaps,https://shikimori.one/animes/2193-saiunkoku-monogatari-recaps
Санка Рэа OVA,120,Sankarea OVA,https://shikimori.one/animes/13055-sankarea-ova
Эпоха смут 2: Эпизод 13,120,"Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",https://shikimori.one/animes/10483-sengoku-basara-two-ryuko-itadaki-no-chikai-atsuki-mirai-e-kakeru-tamashii
Бронированные воины Вотомы: Материалы по делу Пейлсена,120,Soukou Kihei Votoms: Pailsen Files,https://shikimori.one/animes/3256-soukou-kihei-votoms-pailsen-files
Спираль,120,Spiral: Suiri no Kizuna,https://shikimori.one/animes/341-spiral-suiri-no-kizuna
Всё становится F: Идеальный инсайдер,120,Subete ga F ni Naru,https://shikimori.one/animes/y28621-subete-ga-f-ni-naru
Сюита милых лекарств♪,120,Suite Precure♪,https://shikimori.one/animes/9893-suite-precure
Сказания Зестирии: Пролог — Эра Хаоса,120,Tales of Zestiria the Cross: Saiyaku no Jidai,https://shikimori.one/animes/33558-tales-of-zestiria-the-cross-saiyaku-no-jidai
Тэнти — лишний! Рё-о-ки 3: Финальная конфронтация,120,Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,https://shikimori.one/animes/1147-tenchi-muyou-ryououki-3rd-season-tenchi-seirou-naredo-namitakashi
Тигровая маска,120,Tiger Mask,https://shikimori.one/animes/3009-tiger-mask
"Прекрасна, как луна: Спешл",120,Tsuki ga Kirei Special,https://shikimori.one/animes/36539-tsuki-ga-kirei-special
Прославленный: Маска лжеца,120,Utawarerumono: Itsuwari no Kamen,https://shikimori.one/animes/y30901-utawarerumono-itsuwari-no-kamen
Робин — охотница на ведьм,120,Witch Hunter Robin,https://shikimori.one/animes/7-witch-hunter-robin
Седьмой дух,121,07-Ghost,https://shikimori.one/animes/5525-07-ghost
Магический округ Абэнобаси,121,Abenobashi Mahou☆Shoutengai,https://shikimori.one/animes/z306-abenobashi-mahou-shoutengai
Хайди — девочка Альп,121,Alps no Shoujo Heidi,https://shikimori.one/animes/2225-alps-no-shoujo-heidi
Великолепный парк Амаги: Нет времени для спокойствия!,121,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,https://shikimori.one/animes/30206-amagi-brilliant-park-nonbirishiteiru-hima-ga-nai
Чудачества любви не помеха! Lite,121,Chuunibyou demo Koi ga Shitai! Lite,https://shikimori.one/animes/z15687-chuunibyou-demo-koi-ga-shitai-lite
Таинственная библиотека Данталиан,121,Dantalian no Shoka,https://shikimori.one/animes/y8915-dantalian-no-shoka
Страна чудес смертников,121,Deadman Wonderland,https://shikimori.one/animes/6880-deadman-wonderland
Кони-тян,121,Dotto Koni-chan,https://shikimori.one/animes/1684-dotto-koni-chan
Запись деятельности клуба Хифу: Запечатанная эзотерическая история,121,Hifuu Katsudou Kiroku: The Sealed Esoteric History,https://shikimori.one/animes/36686-hifuu-katsudou-kiroku-the-sealed-esoteric-history
Скитальцы: Диковинный рыцарь,121,Drifters: The Outlandish Knight,https://shikimori.one/animes/38360-drifters-the-outlandish-knight
Сказка о Хвосте феи x Рэйв,121,Fairy Tail x Rave,https://shikimori.one/animes/18393-fairy-tail-x-rave
Клуб добрых дел,121,GJ-bu@,https://shikimori.one/animes/21635-gj-bu
