title_en,href,title_ru,page_num
Detective Conan: Episode One - The Great Detective Turned Small,https://shikimori.one/animes/34036-detective-conan-episode-one-the-great-detective-turned-small,Детектив Конан: Первый эпизод,11
Gin no Saji 2nd Season,https://shikimori.one/animes/19363-gin-no-saji-2nd-season,Серебряная ложка 2,11
Hajime no Ippo: Champion Road,https://shikimori.one/animes/264-hajime-no-ippo-champion-road,Первый шаг: Путь чемпиона,11
Hunter x Hunter: Greed Island Final,https://shikimori.one/animes/z139-hunter-x-hunter-greed-island-final,Охотник х Охотник: Остров Жадности — Финал,11
Koukaku Kidoutai,https://shikimori.one/animes/43-koukaku-kidoutai,Призрак в доспехах,11
Major S1,https://shikimori.one/animes/627-major-s1,Мэйджор,11
Neon Genesis Evangelion,https://shikimori.one/animes/30-neon-genesis-evangelion,Евангелион нового поколения,11
Redline,https://shikimori.one/animes/6675-redline,Красная черта,11
Shokugeki no Souma: San no Sara,https://shikimori.one/animes/35788-shokugeki-no-souma-san-no-sara,Повар-боец Сома: Третье блюдо,11
Banana Fish,https://shikimori.one/animes/36649-banana-fish,Банановая рыба,11
Beastars,https://shikimori.one/animes/39195-beastars,Выдающиеся звери,11
Danshi Koukousei no Nichijou,https://shikimori.one/animes/11843-danshi-koukousei-no-nichijou,Повседневная жизнь старшеклассников,11
Girls & Panzer Movie,https://shikimori.one/animes/z18617-girls-panzer-movie,Девушки и танки,11
Hibike! Euphonium 2,https://shikimori.one/animes/31988-hibike-euphonium-2,"Звучи, эуфониум! 2",11
Major S3,https://shikimori.one/animes/1842-major-s3,Мэйджор 3,11
No Game No Life,https://shikimori.one/animes/z19815-no-game-no-life,Нет игры — нет жизни,12
Nodame Cantabile: Finale,https://shikimori.one/animes/5690-nodame-cantabile-finale,Нодамэ Кантабиле: Финал,12
Ookami to Koushinryou,https://shikimori.one/animes/2966-ookami-to-koushinryou,Волчица и пряности,12
Yuru Camp△,https://shikimori.one/animes/34798-yuru-camp,Лагерь на свежем воздухе,12
