href,title_en,page_num,title_ru
https://shikimori.one/animes/9756-mahou-shoujo-madoka-magica,Mahou Shoujo Madoka★Magica,8,Девочка-волшебница Мадока★Волшебство
https://shikimori.one/animes/25777-shingeki-no-kyojin-season-2,Shingeki no Kyojin Season 2,8,Вторжение гигантов 2
https://shikimori.one/animes/z13125-shinsekai-yori,Shinsekai yori,8,Из нового света
https://shikimori.one/animes/12029-uchuu-senkan-yamato-2199,Uchuu Senkan Yamato 2199,8,Космический линкор Ямато 2199
https://shikimori.one/animes/x28805-bakemono-no-ko,Bakemono no Ko,8,Ученик чудовища
https://shikimori.one/animes/5-cowboy-bebop-tengoku-no-tobira,Cowboy Bebop: Tengoku no Tobira,8,Ковбой Бибоп: Достучаться до небес
https://shikimori.one/animes/z10087-fate-zero,Fate/Zero,8,Судьба/Начало
https://shikimori.one/animes/6594-katanagatari,Katanagatari,8,Истории мечей
https://shikimori.one/animes/11979-mahou-shoujo-madoka-magica-movie-2-eien-no-monogatari,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,9,Девочка-волшебница Мадока★Волшебный фильм 2:  История вечности
https://shikimori.one/animes/11917-major-world-series,Major: World Series,9,Мэйджор: Мировая серия
https://shikimori.one/animes/5341-ookami-to-koushinryou-ii,Ookami to Koushinryou II,9,Волчица и пряности II
https://shikimori.one/animes/2559-romeo-no-aoi-sora,Romeo no Aoi Sora,9,Голубые небеса Ромео
https://shikimori.one/animes/z12531-sakamichi-no-apollon,Sakamichi no Apollon,9,Дети на холме
https://shikimori.one/animes/z25835-shirobako,Shirobako,9,Белый ящик
https://shikimori.one/animes/z10863-steins-gate-oukoubakko-no-poriomania,Steins;Gate: Oukoubakko no Poriomania,9,Врата Штейна: Эгоистичная пориомания 
https://shikimori.one/animes/3784-evangelion-2-0-you-can-not-advance,Evangelion: 2.0 You Can (Not) Advance,9,Евангелион 2.22: Ты (не) пройдёшь
https://shikimori.one/animes/37078-quanzhi-gaoshou-specials,Quanzhi Gaoshou Specials,9,Аватар короля: Специальные выпуски
https://shikimori.one/animes/25781-shingeki-no-kyojin-kuinaki-sentaku,Shingeki no Kyojin: Kuinaki Sentaku,9,Вторжение гигантов: Выбор без сожалений
https://shikimori.one/animes/z523-tonari-no-totoro,Tonari no Totoro,9,Мой сосед Тоторо
https://shikimori.one/animes/z30230-diamond-no-ace-second-season,Diamond no Ace: Second Season,9,Путь аса 2
https://shikimori.one/animes/5420-kemono-no-souja-erin,Kemono no Souja Erin,9,Заклинательница зверей Эрин
https://shikimori.one/animes/z486-kino-no-tabi-the-beautiful-world,Kino no Tabi: The Beautiful World,9,Путешествие Кино: Прекрасный мир
https://shikimori.one/animes/16894-kuroko-no-basket-2nd-season,Kuroko no Basket 2nd Season,9,Баскетбол Куроко 2
https://shikimori.one/animes/z10937-mobile-suit-gundam-the-origin,Mobile Suit Gundam: The Origin,9,Мобильный воин Гандам: Происхождение
